1471629996,79740,
C,11,35079,OPTIDX,NIFTYNXT50,1472135400,8390000,PE
C,11,35080,OPTIDX,NIFTYNXT50,1472135400,10150000,CE
C,11,35081,OPTIDX,NIFTYNXT50,1472135400,10150000,PE
C,8,35082,OPTIDX,MIDCPNIFTY,1475159400,1900000,CE
C,8,35083,OPTIDX,MIDCPNIFTY,1475159400,1900000,PE
C,3,35084,OPTIDX,NIFTY,1475159400,2915000,CE
C,3,35085,OPTIDX,NIFTY,1475159400,2915000,PE
C,4,35086,OPTIDX,NIFTY,1475159400,2920000,CE
C,4,35087,OPTIDX,NIFTY,1475159400,2920000,PE
C,4,35088,OPTIDX,FINNIFTY,1477578600,3550000,CE
C,4,35089,OPTIDX,FINNIFTY,1477578600,3550000,PE
C,9,35090,OPTIDX,MIDCPNIFTY,1477578600,1682500,CE
C,9,35091,OPTIDX,MIDCPNIFTY,1477578600,1682500,PE
C,8,35092,OPTIDX,NIFTYNXT50,1472135400,10200000,CE
C,8,35093,OPTIDX,NIFTYNXT50,1472135400,10200000,PE
C,5,35094,OPTIDX,NIFTY,1475159400,2925000,CE
C,5,35095,OPTIDX,NIFTY,1475159400,2925000,PE
C,9,35096,OPTIDX,NIFTYNXT50,1475159400,8370000,CE
C,9,35097,OPTIDX,NIFTYNXT50,1475159400,8370000,PE
C,10,35098,OPTIDX,NIFTYNXT50,1475159400,8380000,CE
C,10,35099,OPTIDX,NIFTYNXT50,1475159400,8380000,PE
C,10,35100,OPTIDX,MIDCPNIFTY,1477578600,1685000,CE
C,10,35101,OPTIDX,MIDCPNIFTY,1477578600,1685000,PE
C,11,35102,OPTIDX,NIFTYNXT50,1475159400,8390000,CE
C,11,35103,OPTIDX,NIFTYNXT50,1475159400,8390000,PE
C,9,35104,OPTIDX,NIFTYNXT50,1475159400,8410000,CE
C,9,35105,OPTIDX,NIFTYNXT50,1475159400,8410000,PE
C,8,35106,OPTIDX,NIFTYNXT50,1475159400,10200000,CE
C,8,35107,OPTIDX,NIFTYNXT50,1475159400,10200000,PE
C,11,35108,OPTIDX,MIDCPNIFTY,1477578600,1687500,CE
